id;numero_factura;nombre_producto;precio_producto;cantidad_producto;total_producto
1;7332582;Yen Directo;19342;44395;19000
2;52031126;vortals;5930;57296;48089
3;85481911;Asturias;2660;36551;57276
4;876708;Ladrillo Avon Sierra;74451;68687;42208
5;49074483;Berkshire sexy;53437;93769;29099
6;78591726;Berkshire Berkshire Coche;62008;41901;51914
7;94026164;Pollo PNG withdrawal;86613;77996;92908
8;18185145;feed;75634;79485;13778
9;63216817;experiences open-source Hecho;73117;370;77106
10;83035401;solutions digital withdrawal;23739;75709;39382
